"endorheic
",
"exorheic
",
"Flussdichte
","<br/>
<br>------
<br>Lade dieses Kapitel als [PDF](http://kollektive-geographie-heidelberg.de/hydrogeographie/00-definitionen.pdf) herunter
<br>Lade die ganze Rubrik *hydrogeographie* als [PDF](http://kollektive-geographie-heidelberg.de/hydrogeographie/hydrogeographie.pdf) herunter
<br>------
"
"Flussordnungszahl
",
"großer Staudaum
","- Dammhöhe min. 15 meter
"
"Isohypsen
",
"Lotrecht
",
"Verweilzeit
","- die mittlere Zeitdauer die ein Teilchen oder Molekül (Wasser) in einem System verbleibt (Atmosphäre, Grundwasser, ...)
"
"Vorfluter
",
"Wasserknappheit (water scarcity)
","- bezieht sich auf die volumetrische Menge von Wasser in einer Region
<br>- das Verhältnis von Wasserverbrauch (Mensch) zu Wasservorrat
"
"Wasserscheide
",
"Wasserstress (water stress)
","- bezieht sich auf die Fähigkeit einer Region menschlichen und ökologischen Bedarfs an Wasser zu decken
"
