"absolute location
","- A location of a place based on specific coordinates (latitude and longitude)
"
"aeronautical chart
","- Luftfahrtkarte, Flugkarte
"
"Age of Discovery
","- Zeitalter der Entdeckungen
"
"air pressure
","- Luftdruck
"
"altimetry
","- Höhenmessung
"
"aphylaktic projection
","- vermittelnde/aphylaktische Pojektion
<br>- Kompromisse werden eingegangen um Verzerrungen zu minimieren
"
"aspect of the projection surface
","- Lage
<br>- Aspekt der Abbildungsfläche
"
"authalic projection
","- flächentreu Projektion
"
"auxiliary map
","- Nebenkarte
"
"azimuthal projection
","- azimutale Projektion
<br>- Entfernung und Richtung jedes Punktes zum Kartenmittelpunkt wird exakt wiedergegebem ([Wikipedia](https://de.wikipedia.org/wiki/Mittabstandstreue_Azimutalprojektion))
"
"barometric altimetry
","- Barometrische Höhenmessung
"
"basic map
","- Grundlagenkarte
"
"basic spatial data
","- Geobasisdaten
"
"bearing
","- Richtung
"
"cadastral map
","- Liegenschaftskarte
<br>- Flurkarte
<br>- eine maßstäbliche Darstellung aller Liegenschaften ([Wikipedia](https://de.wikipedia.org/wiki/Flurkarte))
"
"cadastral subdistrict
","- Gemarkung
"
"canopy coverage
","- Kronenschluss
"
"Cape of Good Hope
","- Kap der guten Hoffnung
"
"cardinal direction
","- Himmelsrichtung
"
"Cartesian coordinate system
","- Kartesisches Koordinatensystem
<br>- das am häufigsten verwendete Koordinatensystem
"
"Cartesian coordinates 
","- Kartesische Koordinaten
"
"cartographic symbol
","- Kartenzeichen
<br>- kartographisches Zeichen
"
"census of population
","- Volkszählung
"
"chart
","- bestimmte Art von Kartendarstellung,
<br>  - Bsp: Luftfahrtkarte, Seekarte
"
"circumnavigation
","- Weltumrundung
"
"classical antiquity
","- klassische Antike
"
"colour brightness
","- Farbhelligkeit
"
"colour hue
","- Farbton
"
"colour palette
","- Farbschema
"
"colour saturation
","- Farbsättigung
"
"compound elements of a map
","- Kartenbestandteile
"
"compromise projection
","- vermittelnde/aphylaktische Projektion
"
"conformal projection
","- winkeltreue Projektion
"
"contour line
","- Isolinie
"
"datum
","- (geodätisches) Datum
<br>- geodetic reference system (GRS)
<br>  - refrence ellipsoid + reference frame
"
"distortion
","- Verzerrung
"
"eclipse
","- (astronomische) Finsternis
"
"elevation plan (of a building)
","- Aufriß
"
"elevation
","- Höhe
"
"embankment hachures
","- Böschungsschraffen
"
"ephemeris, pl. ephemerides
","- Ephemeriden
"
"equal-area projection
","- flächentreu Projektion
"
"equatorial aspect
","- äquatorständig Lage
"
"equidistance
","- Längentreue
"
"equidistant projection
","- längentreu Projektion
"
"equivalent projection
","- flächentreu Projektion
"
