"Absorption
","- Verschlucken von Wellen
"
"Adiabatisch
","- kein Wärmeaustausch mit umliegenden Luftschichten
"
"adiabatische Temperaturgradient
","- $1K/100m$
<br>- Temperaturgradient von adiabatischen Luftpaketen
"
"Advektion
","- horizontales Aufgleiten von warmen Luftmassen über kalte Luftmassen
<br>  - Bewegung von Luftmassen mit ihren Eigenschaften (Lufttemperatur & Luftfeuchte)
"
"Albedo
","- Verhältnis von reflektierter gegenüber eingestrahlter kurzwelliger Strahlung
<br>- hoher Albedo = hohe Reflexion
"
"Allochthon
","- von außen, fremdbürtig, an anderer Stelle entstanden (zyklonal, Tiefdruck)
"
"anabatischer Wind
","- Hangaufwind
<br>- tagsüber
"
"antizyklonale Wetterlage
","- Isobaren krümmen sich um ein Hochdruckgebiet (Antizyklonal)
<br>- Abgleitbewegungen werden unterstützt
"
"Aphel
","- Sonnenfernster Stand
"
"Aride Verhältnisse
","- trocken
<br>- Verdunstung ist höher als der Niederschlag
<br>- Niederschlag < Temperatur
"
"Arides Klima
","- über 9 Monate/Jahr Aride Verhältnisse
"
"atmosphärische Zirkulation
","- planetarische Zirkulation
<br>- globale Zirkulation
<br>- globale Windsysteme
<br>  - großräumige vertikale und horizontale Luftbewegungen
<br>- Entstehung aufgrund ungleicher Verteilung von solarer Einstrahlung
"
"atmosphärische Zirkulation
","- planetarische Zirkulation
<br>- globale Zirkulation
<br>- globale Windsysteme
<br>  - großräumige vertikale und horizontale Luftbewegungen
<br>- Entstehung aufgrund ungleicher Verteilung von solarer Einstrahlung
"
"Autochthon
","- von hier (antizyklonal, Hochdruck, lokale Witterungphänomene)
"
"Baroklinität
","- Isobare und Isotherme liegen nicht parallel zueinander
"
"Barotropie
","- Isobare und Isotherme liegen parallel zueinander
"
"Blocking-Action
","- Blockierung der planetarischen Westwindströmung (Westdrift)
<br>- Ursache
<br>  - *cut-off* von Kaltlufttropfen und Warmluftinseln 
<br>- Folge
<br>  - Entstehung stationärer H- und T-Druckzellen
<br>  - kann zu autochthone Wetterlagen führen
"
"divergierende Luftmassen
","- Auseinanderströmen
<br>- Hochdruckgebiete
"
"dynamisches Druckgebilde
","- dynamische Hoch (H)- und Teifdruckgebiete (T)
<br>- Entstehung durch die Dynamik der Luftströmungen (Höhenströmung)
<br>  - an der planetarischen Frontalzone und anschliesende Wanderung nach Osten
"
"dynamisches Druckgebilde
","- dynamische Hoch- und Teifdruckgebiete
<br>- Durch die Dynamik der Luftströmungen der mittleren und oberen 
<br>  Troposphäre erzeugte Druck- und Windfelder [Uni-Halle](http://maps.uni-halle.de/mlucampus/geoglossar/terme_datenblatt.php?terme=dynamische%20Druckgebilde)
<br>- Entstehung an der planetarischen Frontalzone
"
"Erdrevolution
","- Bahn der Erde um die Sonne auf einer schwach exzentrischen Ellipse, mit größter Sonnenähe im Perihel und größter Sonnenentfernung im Aphel
"
"Extinktion
","- Schwächung von Wellen
<br>- durch Absorption und Streuung**Front**
<br>- Grenze zwischen kalten und warmen Luftmassen
<br>- Kaltfront
<br>  - bewegen sich schneller als Warmfronten
<br>- Warmfront
<br>- Okklusionsfront
<br>  - Vereinigung zweier Fronten
"
"Frontalzone
","- Planetarische Frontalzone (Westwindzone)
"
"Gegenstrahlung
","- langwellige Strahlung, welche die Erdoberfläche erreicht
"
"geometrischer Temperaturgradient
","- $0,65K/100m$
<br>- Temperaturgradient in freier Atmosphäre
"
"Globalstrahlung
","- diffuse + direkte Einstrahlung
<br>- gesamte auf der Erdoberfläche eintreffende Solarstrahlung
"
"Gradient
","- Änderung einer atmosphärischen Größe in horizontaler oder vertikaler Richtung
"
"Gradient
","- Änderung einer atmosphärischen Größe in horizontaler oder vertikaler Richtung
"
"Großwetterlage
","- Witterungsphase über mehrere Tage (min. 3)
"
"Hochdruckgebiet
","- geringe Lufttemperatur = höhere Luftdichte
"
"homogenes Druckfeld
","- homogene Schichtung der Isobaren
"
"Homogenität (innerhalb einer Messreihe)
","- gleicher Ort
<br>- gleiches Intervall
<br>- gleiches Messgerät
"
"Humide Verhältnisse
","- feucht
<br>- Niederschlag höher als Verdunstung
<br>- Niederschlag > Temperatur
"
"Humides Klima
","- über 9 Monate/Jahr Humide Verhältnisse
"
"hypsometrischer Temperaturgradient
","- abhängig von Wärmeumsätzen an der Erdoberfläche ('Heizfläche')
<br>- Lufttemperatur in Gebiergen nimmt mit der Höhe nicht so schnell ab wie in freier Atmosphäre
"
"Inhomogenität
","- Fluktuation der Messreihe aufgrund von Änderung der Anahmen
"
"Inversion
","- Warme Luftschicht liegt über der kalten Luftschicht
<br>- Umkehrung der vertikalen Temperaturgradienten
<br>- Entsteht oft in Hochdruck und autochthonen Wetterlagen
"
"Isobar
","- Linien gleichem Druck
"
"Isotherm
","- Linien gleicher Temperatur
"
"katabatischer Wind
","- Hangabwind
<br>- nachts
"
"Keplersches Gesetz 1 
","- Die Planeten bewegen sich auf elliptischen Bahnen, in deren einem Brennpunkt die Sonne steht.
"
"Keplersches Gesetz 2
","- Die Verbindungslinie Sonne-Planet überstreicht in gleichen Zeiten gleiche Fläche
"
"Klima
","- Gemittelte Zustandsbeschreibung der Parameter der Atmosphäre über ein längeren Zeitraum (_Jahrzehnte, min. 30 Jahre_)
"
"Klimafaktoren
","- Raumtypische Einflussgrößen, die die Klimaelemente modifizieren
<br>- kennzeichnen die wetter- und klimarelevanten Raumeigenschaften
<br>  - Breitenlage
<br>  - Höhenlage
<br>  - Entfernung zum Meer
<br>  - Geländeform
<br>  - Oberflächenstruktur und -bedeckung
"
"Klimatologie
","- Interdisziplinäre Wissenschaft zwischen Geographie & Geophysik
"
"Kondensationsniveau
","- Höhe, in der die Lufttemperatur = Taupunkttemperatur
<br>- Sättigungsfeuchte ist erreicht
<br>- Kondensationsniveau = Wolkenuntergrenze
"
"Kondensationsniveau
","- Höhe, in der die Lufttemperatur = Taupunkttemperatur
<br>- Sättigungsfeuchte ist erreicht
<br>- Kondensationsniveau = Wolkenuntergrenze
"
"Konvektion
","- vertikaler Aufstieg von warmen Luftmassen
<br>  - adiabatischer Temperaturgradient
<br>  - Bewegung von Luftmassen mit ihren Eigenschaften (Lufttemperatur & Luftfeuchte)
"
"konvergierende Luftmassen
","- Zusammenströmen
<br>- Tiefdruckgebiet
"
"Lambertsches Gesetz
","- Strahlungsintensität abhängig vom Einfallswinkel
<br>- Diffusion der Energie bei schiefen Einfallswinkel der Strahlen
"
"latente Wärme
","- potentielle Energie
<br>- in einem Phasenübergang gespeicherte Energie (z. Bsp. Wasserdampf)
"
"Massenträgheit
","- Wirkt auf einen Körper keine Kraft, so bleibt er in seinem Bewegungszustand zu verharren
"
"Massenträgheit
","- Wirkt auf einen Körper keine Kraft, so bleibt er in seinem Bewegungszustand zu verharren
"
"Meridian
","- halber Längenkreis
<br>- Gradnetz der Erde vom geographischen Pol zum anderen
"
"Meridional
","- Richtungsgebend (Vertikal	N | S)
"
"Meridionalzirkulation
","- großräumiges Windsystem
<br>- Hauptströmungsrichtung ist meridonal (Längenkreis)
"
"Meridonal
","- Richtungsgebend (Vertikal, N | S)
"
"Mesoskalig
","- Größenordnung: 2 - 1000 Kilometer
"
"Meterologie
","- Teilgebiet der Geophysik
"
"Milankowitch Zyklen (langfristige Strahlungsvariabilität)
","- Exzentrität
<br>  - Form der Elipse (Erdumlaufbahn) ändert sich
<br>- Obliquität
<br>  - Schiefe der Ekliptik (Erdachsenneige)
<br>- Präzession
<br>  - Position der Erde zum Perihel
<br>  - 'Kreisel'
"
"Okklusionsfront
","- Vereinigung zweier Fronten
"
"Orbitalparameter
","- Schiefe der Ekliptik
<br>- Erdrotation
<br>- Erdrevolution
"
"Perihel
","- Sonnennächster Stand der Erde
"
"planetare Grenzschicht
","- auch atmosphärische Grenzschicht oder Peplosphäre
<br>- Teil der Erdatmosphäre in den Turbulenzen aufgrund der Erdoberfläche entstehen können
"
"Polarfront
","- Polseitiger Bereich der planetarischen Frontalzone
<br>- findet häufig Zyklogenese statt
"
"radialsymetrisches Druckfeld
","- Krümmung der Isobaren um eine Hoch-/ Tiefdruckgebiet
"
"Reflexion
","- Streuung von Wellen
"
"sensible Energie
","- fühlbare Wärme
"
"Sigularität
","- Wetterlagen mit deutlicher Abweichung von Erwartungen
"
"Solarkonstante
","- gilt nur bei senkrechtem Strahlungseinfall
<br>- max Wert der Strahlung
<br>- schwanken aufgrund von Sonnenzyklen (Fluktuationen)
"
"Solstitiallinie
","- Die Verbindungslinie zwischen den Positionen der Erde zum Zeitpunkt der 
<br>  Sommersonnenwende und der Wintersonnenwende 
<br>- max ungleichheit von Tag & Nacht (eine Halbkugel wird max bestrahlt)
<br>- Senkrecht zur Äquinoktiallinie
<br>- 21 Juni & 22 Dezember
"
"spezifische Wärmekapazität
","- die Fähigkeit eines Stoffes, thermische Energie zu speichern
"
"Subtropenfront
","- Dem Äquator zugewandter Bereich der planetarischer Frontalzone
"
"Terrestrische Ausstrahlung
","- langwellige Ausstrahlung von der Erdoberfläche
"
"thermisches Druckgebilde
","- Kältehoch (h) und Hitzetief (t)
<br>- temperaturabhängigen Dichteänderungen der Luft
"
"Tiefdruckgebiet
","- hohe Lufttemperatur = geringere Luftdichte
"
"Transmission
","- Durchlässigkeit von Wellen
"
"Wendekreis
","- die Breitenkreise, über denen die Sonne einmal jährlich im Zenit steht. 
<br>- Ihre Lage ergibt sich aus der Schiefe der Ekliptik ([Spektrum](http://www.spektrum.de/lexikon/geographie/wendekreis/8963))
"
"Wetter
","- Momentanaufnahme der Klimagrößen an einem Ort (_Tage_)
"
"Wetterelemente
","- Physikalische Einzelgrößen wie Temperatur, Luftfeuchte,
<br>  Windrichtung, Windgeschwindigkeit, Strahlung
<br>- Messbare meterologische Größen
"
"Witterung
","- Charakter des Wetterablaufes eines Gebietes innerhalb kürzer Zeiträume (Tage/Wochen)
"
"Zenitalregen
","- konvektiven Niederschlagsereignisse in den Tropen, wenn die Sonne im Zenit steht
"
"Zonal
","- Richtungsgebend (Horizontal, W - O)
"
"Zonalzirkulation
","- großräumiges Windsystem
<br>- Hauptströmungsrichtung ist zonal (Breitenkreis)
"
"zyklonale Wetterlagen
","- Isobaren krümmen sich um ein Tiefdruckgebiet (Zyklon)
<br>- Aufgleitbewegungen werden unterstützt
"
"Äquinoktium (Tagundnachtgleiche)
","- beiden Tage im Jahr, an denen der lichte Tag und die Nacht gleich lange dauern.
<br>- 21 März & 23 September
<br>  - Steht die Sonne am Äquator im Zenit
"
