"adaptation
","- Anpassung
"
"Angsträume
","- öffentliche Räume in denen das Gefühl einer Bedrohung durch Kriminalität  besonders stark ausgeprägt ist
"
"anthropogenic hazards
","- hazards caused directly or indirectly by human action or inaction
"
"Ausnahmezustand
","- die rechtliche Ordnung ist suspendiert
<br>- siehe auch 'spaces of exceptions'
"
"Climate Engineering
","- Eingriffe mit technischen Mitteln in bio/geochemische Kreisläufe der Erde
<br>  - Beeinflussung der Sonneneinstrahlung (Solar Radiation Management (SRM))
<br>  - Reduzierung der CO2-Konzentration in der Atmosphäre (Carbon Dioxide Renoval(CDR))
"
"Essentialismus
","- das Wesentliche aller Dinge ist ihrer Wesensform (Essenz) und nicht die Existenz ([Wiktionary](https://de.wiktionary.org/wiki/Essentialismus))
"
"Failed States Index
","- siehe Fragile States Index
"
"Failed States
","- siehe gescheiterter Staat
"
"Faschismus
","- nach dem Führerprinzip organisierte, nationalistische, antidemokratische, rechtsradikale Bewegung/Ideologie ([Duden](http://www.duden.de/rechtschreibung/Faschismus))
"
"Fragil States Index (FSI)
","- formerly the Failed States Index
<br>- annual report published by the Fund for Peace and the Foreign Policy magazine
<br>- aims to assess states' vulnerability to conflict or collapse ([Wikipedia](https://en.wikipedia.org/wiki/Fragile_States_Index))
"
"Gated Communities
","- eine durch verschiedene Arten von Zugangsbeschränkungen verschlossene Gesellschaft ([Wikipedia](https://de.wikipedia.org/wiki/Gated_Community))
"
"gescheiterter Staat
","- Politikwissenschaft
<br>  - ein Staat, welcher seine grundlegenden Funktionen (Sicherheit, Wohlfahrt und Legitimations/Rechtsstaatlichkeit) nicht mehr erfüllen kann ([Wikipedia](https://de.wikipedia.org/wiki/Gescheiterter_Staat))
<br>- Völkerrechtslehre
<br>  - ein Staat, welcher strukturell (organisatorische Strukturen der Staatsgewalt) unregierbar ist ([Wikipedia](https://de.wikipedia.org/wiki/Gescheiterter_Staat))
"
"gewaltoffene Räume
","- Räume, in denen das Gewaltmonopol des Staates in Auflösung begriffen ist und unter widerstreitenden Gewaltakteuren umkämpft ist
"
"Grenzen
","- markieren den räumlichen staatlichen Wirkungsbereich
"
"Hazard
","- Gefährdung
"
"Ideologie
","- 'Ideenlehre“
<br>- Weltanschauung oder ein System von Wertvorstellungen
<br>- siehe auch: politische Ideologie
"
"Imagined Community
","- a socially constructed community, imagined by the people who perceive themselves as part of that group. ([Wikipedia](https://en.wikipedia.org/wiki/Imagined_community))
"
"Imperialimus
","- imperare = herrschen; imperium = Weltreich
<br>- das Bestreben eines Staates in anderen Ländern/Völkern wirtschaftlichen(marktgetriebener Imperialismus( und politischen Einfluss zu erlangen bis hin zu deren Unterwerfung und zur Eingliederung in den eigenen Machtbereich ([Wikipedia](https://de.wikipedia.org/wiki/Imperialismus))
"
"Islamischer Staat
","-  ist eine seit 2003 aktive terroristisch agierende sunnitisch-islamistische Miliz mit zehntausenden Mitgliedern, die derzeit Teile des Irak und Syriens kontrolliert
"
"Islamist
","- 'Are conservative Muslims who want political Islam imposed on society. (force their interpretation of islam on the rest of society.)'
"
"Jihadist
","- 'Are Islamists who use force.'
"
"Kolonialisierung
","- Unterwerfung eines Territoriums einschließlich der dort lebenden Bevölkerung als Kolonie ([Spektrum](http://www.spektrum.de/lexikon/geographie/kolonialisierung/4237))
"
"Kolonie
","- ein auswärtiges abhängiges Gebiet eines Staates ohne eigene politische und wirtschaftliche Macht ([Wikipedia](https://de.wikipedia.org/wiki/Kolonie))
"
"Konstruktivimus
","- Erkenntnistheorie ([Spektrum](http://www.spektrum.de/lexikon/psychologie/konstruktivismus/8103))
<br>- Ist unser/e Weltbild/Wahrnehmung die Abbildung der Realität oder ist sie 'konstruiert'?
"
"Krieg
","- Kampfhandlungen zwischen zwei oder mehreren Parteien mit tödlichen Einsatz von Waffen ([bpb](http://www.bpb.de/apuz/232960/alte-und-neue-kriege?p=all))
"
"Liberalismus
","- strebt eine freiheitliche politische, ökonomische und soziale Ordnung an
<br>- fordert eine freie Marktwirtschaft
"
"Marginalisierung
","- margo = Rand
<br>- ein sozialer Vorgang, bei dem Bevölkerungsgruppen an den „Rand der Gesellschaft“ gedrängt werden und dadurch nur wenig am wirtschaftlichen, kulturellen und politischen Leben teilnehmen können ([Wikipedia](https://de.wikipedia.org/wiki/Marginalisierung))
"
"mitigation
","- Minderung
"
"Muslime
","- conservative Muslim: 'Literalist Muslims within their own families and lifestyles.'
"
"natural Hazards
","- natural phenomenon that might have a negative effect on people or the environment
<br>- Geophysical hazards
<br>  - earthquakes, flood, drought, wildfire, ...
<br>- Biological hazards
<br>  - disease and infestation (Krankheit und Verseuchung)
"
"Natürliche Ressourcen
","- Bestandteile oder Funktion der Natur, welche einen ökonomischen Nutzen habe
<br>- Rohstoffe, Fläche, die Funktion und Qualität von Komponenten der Umwelt (Boden, Luft und Wasser) ([Wikipedia](https://de.wikipedia.org/wiki/Nat%C3%BCrliche_Ressource))
"
"Neoliberalismus
","- Denkrichtung des Liberalismus
<br>- sieht das Eingreifen des Staates in die freie Marktwirtschaft um Wettbewerb zu schützen als nötig an
"
"Othering
","- 'andersartig'
<br>- Differenzierung der Gruppe, der man sich zugehörig fühlt, von anderen Gruppen ([Wikipedia](https://de.wikipedia.org/wiki/Othering))
<br>- eigene Identität ist definiert durch Abgrenzung anderer Identitäten (Individuen, Gruppen, Kulturen...)
"
"Politische Geographie mit großem ""P""
","- akademisches Wissensfeld
<br>- Abgrenzung 'Politischem' von 'nicht Politischem'
"
"politische Geographie mit kleinem ""p""
","- Forschung muss politisch verstanden werden
<br>- kritische Reflexion des 'Politischen' in der Gesellschaft
<br>- Hinterfragung von Politik, Wirtschaft und Gesellschaft
"
"politische Ideologie
","- Gesamtheit der Ideen, Vorstellungen und Theorien zur Begründung und Rechtfertigung politischen Handelns ([Wikipedia](https://de.wikipedia.org/wiki/Politische_Ideologie))
<br><br/>
<br>------
<br>Lade dieses Kapitel als [PDF](http://kollektive-geographie-heidelberg.de/politische-geographie/00-definitionen.pdf) herunter
<br>Lade die ganze Rubrik *politische-geographie* als [PDF](http://kollektive-geographie-heidelberg.de/politische-geographie/politische-geographie.pdf) herunter
<br>------
"
"Postkolonialismus
","- Auseinandersetzung mit der Geschichte des Kolonialismus
<br>  - antiimperialistische Denkrichtung ([Spektrum](http://www.spektrum.de/lexikon/geographie/postkolonialismus/6170))
<br>- 'post' ([bpb](http://www.bpb.de/apuz/146971/kolonialismus-und-postkolonialismus?p=all))
<br>  - Situation nach dem formalen Ende kolonialer Herrschaft 
<br>  - Dekonstruktion und Überwindung zentraler Annahmen des kolonialen Diskurses
"
