"absulute Häufigkeit
","- ein Maß der deskriptiven Statistik ([Wikipedia](https://de.wikipedia.org/wiki/Absolute_H%C3%A4ufigkeit))
<br>- Anzahl
"
"arithmetisches Mittel
",
"daten
",
"datenniveau
",
"Deskreptive Statistik
","- auch: beschreibende Statistik
<br>- Ziel ist es, empirische Daten durch Tabellen, Kennzahlen (auch: Maßzahlen oder Parameter) und Grafiken übersichtlich darzustellen und zu ordnen ([Wikipedia](https://de.wikipedia.org/wiki/Deskriptive_Statistik))
"
"inter subjektivität
",
"kategoriale Variablen
","- nominal oder ordinal skalierte Variablen (Ernste 2011, S.9)
"
"Klasseneinteilung
","- auch: Klassenbildung oder Klassierung
<br>- Einteilung von statistischen Reihen in getrennte Gruppen, Klassen oder Größenklassen ([Wikipedia](https://de.wikipedia.org/wiki/Klasseneinteilung_(Statistik)))
"
"Median
",
"Merkmal
","- Dimension, die mehreren Objekten gemeinsam ist
"
"Merkmalsdimension
",
"Merkmalsträger
",
"Messen
","- Einnorden von Objekten auf einer Skala (Ernste 2011, S.8)
"
"metrisch
",
"metrische Variablen
","- intervall- oder ratio-skalierte Variablen (Ernste 2011, S.11)
"
"Modalwert
",
"nominal
",
"ordinal
",
"primäre Statistik
",
"primäre statistische Erhebung
","- Eigenständige Erhebung
"
"proportional
",
"qualitativ
",
"qualitative Methoden
","- Subjektive (Individualisierbar)
<br>- nicht standardisierte Daten
<br>- interpretative Methoden
<br>- beinhaltet Analysierung von Wörtern, Bildern und Objekten
"
"quantitativ
",
"quantitative methoden
","- Objektive (Schematisierung)
<br>- standardisierte Daten
<br>- statistische und mathematische Methoden
<br>- beinhaltet Analysierung von Zahlenangaben
"
"relative Häufigkeit
","- ein Maß der deskriptiven Statistik ([Wikipedia](https://de.wikipedia.org/wiki/Relative_H%C3%A4ufigkeit))
<br>- die absolute Häufigkeit von Objekte eines Merkmals geteilt durch die Anzahl der Objekte in der zugrundeliegenden Menge
"
"Schätzstatistik
","- Ziel ist es durch Schätzung von Parametern der Stichprobe auf die Parametern der Grundgesamtheit zu schließen
"
"sekundär Statistik
",
"sekundär statistische Erhebung
","- Nutzung vorhandener Daten
"
"Statistik
","- Die Statistik ist eine 'Sammlung' von Methoden zur Beschreibung und Auswertung von Daten (gleichartige Einheiten)
<br>- eine systematische Verbindung zwischen Erfahrung (Empirie) und Theorie herzustellen“ ([Wikipedia](https://de.wikipedia.org/wiki/Statistik))
<br>- Die Statistik stellt somit die theoretische Grundlage aller empirischen Forschung dar. 
"
"Stichprobe
",
"Variable
","- Merkmal mit Wert
"
